960,Samtliga_årtal
1000,Samtliga_årtal
1100,Samtliga_årtal
1311,Samtliga_årtal
1400,Samtliga_årtal
1452,Samtliga_årtal
1486,Samtliga_årtal
1492,Samtliga_årtal
1505,Samtliga_årtal
1533,Samtliga_årtal
1540,Samtliga_årtal
1571,Samtliga_årtal
1588,Samtliga_årtal
1630,Samtliga_årtal
1639,Samtliga_årtal
1670,Samtliga_årtal
1695,Samtliga_årtal
1702,Samtliga_årtal
1767,Samtliga_årtal
1787,Samtliga_årtal
1789,Samtliga_årtal
1791,Samtliga_årtal
1795,Samtliga_årtal
1798,Samtliga_årtal
1812,Samtliga_årtal
1813,Samtliga_årtal
1848,Samtliga_årtal
1851,Samtliga_årtal
1863,Samtliga_årtal
1873,Samtliga_årtal
1874,Samtliga_årtal
1878,Samtliga_årtal
1879,Samtliga_årtal
1882,Samtliga_årtal
1884,Samtliga_årtal
1885,Samtliga_årtal
1887,Samtliga_årtal
1888,Samtliga_årtal
1891,Samtliga_årtal
1892,Samtliga_årtal
1893,Samtliga_årtal
1896,Samtliga_årtal
1897,Samtliga_årtal
1899,Samtliga_årtal
1901,Samtliga_årtal
1902,Samtliga_årtal
1905,Samtliga_årtal
1908,Samtliga_årtal
1909,Samtliga_årtal
1911,Samtliga_årtal
1913,Samtliga_årtal
1914,Samtliga_årtal
1915,Samtliga_årtal
1916,Samtliga_årtal
1917,Samtliga_årtal
1919,Samtliga_årtal
1920,Samtliga_årtal
1922,Samtliga_årtal
1923,Samtliga_årtal
1924,Samtliga_årtal
1925,Samtliga_årtal
1928,Samtliga_årtal
1929,Samtliga_årtal
1930,Samtliga_årtal
1931,Samtliga_årtal
1932,Samtliga_årtal
1933,Samtliga_årtal
1934,Samtliga_årtal
1935,Samtliga_årtal
1937,Samtliga_årtal
1942,Samtliga_årtal
1946,Samtliga_årtal
1947,Samtliga_årtal
1951,Samtliga_årtal
1953,Samtliga_årtal
1954,Samtliga_årtal
1956,Samtliga_årtal
1959,Samtliga_årtal
1960,Samtliga_årtal
1962,Samtliga_årtal
1964,Samtliga_årtal
1965,Samtliga_årtal
1966,Samtliga_årtal
1967,Samtliga_årtal
1968,Samtliga_årtal
1972,Samtliga_årtal
1973,Samtliga_årtal
1974,Samtliga_årtal
1975,Samtliga_årtal
1976,Samtliga_årtal
1977,Samtliga_årtal
1978,Samtliga_årtal
1979,Samtliga_årtal
1981,Samtliga_årtal
1982,Samtliga_årtal
1983,Samtliga_årtal
1984,Samtliga_årtal
1985,Samtliga_årtal
1986,Samtliga_årtal
1987,Samtliga_årtal
1988,Samtliga_årtal
1989,Samtliga_årtal
1990,Samtliga_årtal
1991,Samtliga_årtal
1992,Samtliga_årtal
1993,Samtliga_årtal
1995,Samtliga_årtal
2000,Samtliga_årtal
2007,Samtliga_årtal
9000,NaN
199000,NaN
300000,NaN
- och han,NaN
", Margi Clarke",NaN
& Verktyg,NaN
0 Mkr,NaN
"0,05 mg",NaN
"0,1 mg",NaN
"0,15 mg",NaN
"0,15 procent",NaN
"0,3 liter",NaN
"0,3 procent",NaN
"0,4 procentenheter",NaN
"0,5 procent",NaN
"0,5 procentenheter",NaN
"0,7 %",NaN
"0,8 procent",NaN
"0,85 ton",NaN
"0,9 gram",NaN
08-7011000,NaN
08-7011012,NaN
1 %,NaN
1 april,NaN
1 april 1993,NaN
1 april 1995,NaN
1 augusti,NaN
1 augusti 1989,NaN
1 dl,NaN
1 januari,NaN
1 januari 1985,NaN
1 januari 1992,NaN
1 januari 1993,NaN
1 juli,NaN
1 juli 1992,NaN
1 juni,NaN
1 juni 1995,NaN
1 krona,NaN
1 kvadratmeter,NaN
1 liter,NaN
1 maj 1740,NaN
1 mars,NaN
1 miljard kr,NaN
1 minut,NaN
1 msk,NaN
1 november,NaN
1 november 1990,NaN
1 procent,NaN
1 september,NaN
1 timme,NaN
1 tsk,NaN
1-2 år,NaN
1-2 dl,NaN
1-2 msk,NaN
1-2 timmar,NaN
1-2 ton,NaN
1-2 tsk,NaN
1-3 tsk,NaN
1-4 mm,NaN
1-5 procent,NaN
1-6 kg,NaN
"1,0 promille",NaN
"1,1 miljarder kronor",NaN
"1,14 till 0,96 procent",NaN
"1,2 miljarder kronor",NaN
"1,2 mkr",NaN
"1,24 miljoner litas",NaN
"1,3 liter",NaN
"1,3 miljoner kronor",NaN
