,,Lätt,Medelsvårt,Svårt,Extremt svårt
Med Tiden,Obscure,,,,
Tam,Simple,,,,
Uppsöka,Simple,,,,
Kontrakt,Simple,,,,
Gidlund,Simple,,,,
Buckla,Simple,,,,
Upplösningsprocess,Obscure,,,,
Unghund,Simple,,,,
Sur,Simple,,,,
Tung,Simple,,,,
Vuxen,Simple,,,,
Hästintresse,Simple,,,,
W,Simple,,,,
Filmformat,Simple,,,,
Earwin,Simple,,,,
Tillmötesgå,Simple,,,,
Unisont,Simple,,,,
Davis,Simple,,,,
Björklinge,Simple,,,,
Mödosamt,Simple,,,,
Underkasta,Simple,,,,
Bradbury,Simple,,,,
Hisnande,Obscure,,,,
Svensktoppsartist,Simple,,,,
Lo-Utredning,Simple,,,,
Saksökare,Simple,,,,
Nybildad,Simple,,,,
Ståltråd,Obscure,,,,
Rhône,Obscure,,,,
Spenat,Obscure,,,,
Klubbstyrelse,Simple,,,,
Matematisk,Obscure,,,,
Västdiplomat,Simple,,,,
Stam,Simple,,,,
Robert Chapman,Obscure,,,,
Zygmunt Konieczny,Obscure,,,,
Sumpfri,Simple,,,,
Tvärs,Simple,,,,
Styra,Simple,,,,
Tillämpningsområde,Obscure,,,,
Backspegel,Simple,,,,
Stöp,Simple,,,,
Strindbergstolkare,Simple,,,,
Barrskog,Simple,,,,
Kulturklimat,Simple,,,,
Konsumentprodukt,Simple,,,,
Förlägga,Simple,,,,
Affe,Obscure,,,,
Bevarad,Simple,,,,
Mall,Simple,,,,
Celibat,Obscure,,,,
Jones,Simple,,,,
Swift,Simple,,,,
Räntechock,Simple,,,,
Mer Än 90 %,Obscure,,,,
Polis,Simple,,,,
Glasskiosk,Simple,,,,
Limpa,Simple,,,,
Svällande,Simple,,,,
Tomas Ledin,Obscure,,,,
Väghållning,Obscure,,,,
Svarttorp,Simple,,,,
Kompromisslösning,Simple,,,,
Vietnamkrig,Simple,,,,
Pendlingsavstånd,Simple,,,,
1916,Obscure,,,,
Ådagalägga,Simple,,,,
Calasvuoma,Obscure,,,,
Fånguppror,Obscure,,,,
Krog,Simple,,,,
Schanche,Simple,,,,
Star,Simple,,,,
Framända,Obscure,,,,
Platen,Simple,,,,
Avskedsansökan,Obscure,,,,
Undvikande,Simple,,,,
Vlt-Intervju,Simple,,,,
Rialaförsvarare,Simple,,,,
Kuta,Simple,,,,
Kontorstid,Obscure,,,,
Bupalus,Simple,,,,
Bjurström,Simple,,,,
Fysik,Simple,,,,
Fullblodsproffs,Obscure,,,,
Benstyrka,Simple,,,,
Eloge,Simple,,,,
Myndighetsperson,Obscure,,,,
Tampereen,Simple,,,,
Torksommar,Simple,,,,
Övervakare,Obscure,,,,
PTK,Simple,,,,
Slottsteater,Simple,,,,
Hemmaklubb,Simple,,,,
Unrg-Gerilla,Simple,,,,
Stenbro,Simple,,,,
Flygredskap,Simple,,,,
Centralstationshuset,Obscure,,,,
Folkmakt,Obscure,,,,
Underrättad,Simple,,,,
Nygräddad,Simple,,,,
Michail Mokretsovs,Obscure,,,,
Kursdagare,Simple,,,,
S,Simple,,,,
Avsky,Simple,,,,
Lövström,Simple,,,,
Carl-Gerhard,Simple,,,,
Jörgen,Simple,,,,
Favorisera,Simple,,,,
Färg,Simple,,,,
Stenhäll,Obscure,,,,
Fartgräns,Simple,,,,
Luigi,Simple,,,,
Röda Armén,Obscure,,,,
Duran,Simple,,,,
Senapsägg,Simple,,,,
