Aberdeen,Orter i Aberdeen,Aberdeen (Orter i Aberdeen)
Sven Melander,Svenska TV-programledare,Sven Melander (Svenska TV-programledare)
Mutation,Evolutionsbiologi,Mutation (Evolutionsbiologi)
Valdeltagande,Val,Valdeltagande (Val)
Magnus Härenstam,Svenska skådespelare,Magnus Härenstam (Svenska skådespelare)
Hansen,Danska efternamn,Hansen (Danska efternamn)
Fostran,Föräldraskap och fostran,Fostran (Föräldraskap och fostran)
Ssab,Företag bildade 1978,Ssab (Företag bildade 1978)
Peking,Asiens huvudstäder,Peking (Asiens huvudstäder)
Tämnaren,Insjöar i Uppland,Tämnaren (Insjöar i Uppland)
Boström,Svenska släkter,Boström (Svenska släkter)
Immanuel,Bibeln,Immanuel (Bibeln)
Bassäng,Vatten,Bassäng (Vatten)
Lessebo,Svenska järnbruk,Lessebo (Svenska järnbruk)
Kolonisation,Kolonialism,Kolonisation (Kolonialism)
Riksförbundet För Social Och Mental Hälsa,Handikapporganisationer i Sverige,Riksförbundet För Social Och Mental Hälsa (Handikapporganisationer i Sverige)
Laghouat,Orter i Laghouat (provins),Laghouat (Orter i Laghouat (provins))
Ensamhet,Samlevnad,Ensamhet (Samlevnad)
Kringutrustning,Produkter,Kringutrustning (Produkter)
Syster,Släkt,Syster (Släkt)
Sandels,Svenska adelsätter,Sandels (Svenska adelsätter)
Intervju,Forskning,Intervju (Forskning)
Rundradio,Radio,Rundradio (Radio)
Pampusch,Fotbeklädnader,Pampusch (Fotbeklädnader)
Portklapp,Dörrar,Portklapp (Dörrar)
Scenvind,Platser på teatern,Scenvind (Platser på teatern)
Furuviksparken,Djurparker i Sverige,Furuviksparken (Djurparker i Sverige)
Samtycke,Etiska frågor,Samtycke (Etiska frågor)
Heimskringla,Kungasagor,Heimskringla (Kungasagor)
Berghäll,Helsingfors distrikt,Berghäll (Helsingfors distrikt)
Teknolog,Academica,Teknolog (Academica)
Jens Nielsen,Danska ishockeyspelare,Jens Nielsen (Danska ishockeyspelare)
Semiotik,Termer inom litteraturvetenskap,Semiotik (Termer inom litteraturvetenskap)
Margarita,IBA-drinkar,Margarita (IBA-drinkar)
Bachs,Orter i Zürich (kanton),Bachs (Orter i Zürich (kanton))
Herodotos,Grekiska historiker under antiken,Herodotos (Grekiska historiker under antiken)
Barkarby,Barkarby-Skälby,Barkarby (Barkarby-Skälby)
Messina,Historiska hellenska stater,Messina (Historiska hellenska stater)
Sten Wahlström,Svenska ingenjörer under 1900-talet,Sten Wahlström (Svenska ingenjörer under 1900-talet)
Kvävning,Dödsorsaker,Kvävning (Dödsorsaker)
Bröstkorg,Bröstkorgen,Bröstkorg (Bröstkorgen)
Lustgas,Förpackningsgaser,Lustgas (Förpackningsgaser)
